latitude,longitude,radius,density
32.8776,-117.26,1000.0,0.0
32.8776,-117.24,1000.0,55.0
32.8776,-117.22,1000.0,68.0
32.8776,-117.2,1000.0,21.0
32.8776,-117.18,1000.0,3.0
32.8776,-117.16,1000.0,40.0
32.8776,-117.14,1000.0,4.0
32.8776,-117.12,1000.0,0.0
32.8776,-117.1,1000.0,0.0
32.8776,-117.08,1000.0,0.0
32.8776,-117.06,1000.0,0.0
32.8776,-117.04,1000.0,0.0
32.8776,-117.02,1000.0,0.0
32.8776,-117.0,1000.0,0.0
32.8776,-116.98,1000.0,0.0
32.8776,-116.96,1000.0,0.0
32.8776,-116.94,1000.0,0.0
32.8776,-116.92,1000.0,0.0
32.901,-117.26,1000.0,0.0
32.901,-117.24,1000.0,14.0
32.901,-117.22,1000.0,11.0
32.901,-117.2,1000.0,43.0
32.901,-117.18,1000.0,32.0
32.901,-117.16,1000.0,1.0
32.901,-117.14,1000.0,13.0
32.901,-117.12,1000.0,27.0
32.901,-117.1,1000.0,5.0
32.901,-117.08,1000.0,1.0
32.901,-117.06,1000.0,2.0
32.901,-117.04,1000.0,0.0
32.901,-117.02,1000.0,0.0
32.901,-117.0,1000.0,0.0
32.901,-116.98,1000.0,0.0
32.901,-116.96,1000.0,0.0
32.901,-116.94,1000.0,0.0
32.901,-116.92,1000.0,0.0
32.9244,-117.26,1000.0,2.0
32.9244,-117.24,1000.0,10.0
32.9244,-117.22,1000.0,9.0
32.9244,-117.2,1000.0,1.0
32.9244,-117.18,1000.0,0.0
32.9244,-117.16,1000.0,0.0
32.9244,-117.14,1000.0,14.0
32.9244,-117.12,1000.0,53.0
32.9244,-117.1,1000.0,0.0
32.9244,-117.08,1000.0,0.0
32.9244,-117.06,1000.0,1.0
32.9244,-117.04,1000.0,0.0
32.9244,-117.02,1000.0,0.0
32.9244,-117.0,1000.0,0.0
32.9244,-116.98,1000.0,0.0
32.9244,-116.96,1000.0,0.0
32.9244,-116.94,1000.0,0.0
32.9244,-116.92,1000.0,0.0
32.9478,-117.26,1000.0,9.0
32.9478,-117.24,1000.0,49.0
32.9478,-117.22,1000.0,8.0
32.9478,-117.2,1000.0,5.0
32.9478,-117.18,1000.0,0.0
32.9478,-117.16,1000.0,0.0
32.9478,-117.14,1000.0,0.0
32.9478,-117.12,1000.0,2.0
32.9478,-117.1,1000.0,8.0
32.9478,-117.08,1000.0,3.0
32.9478,-117.06,1000.0,34.0
32.9478,-117.04,1000.0,33.0
32.9478,-117.02,1000.0,7.0
32.9478,-117.0,1000.0,0.0
32.9478,-116.98,1000.0,0.0
32.9478,-116.96,1000.0,0.0
32.9478,-116.94,1000.0,0.0
32.9478,-116.92,1000.0,0.0
32.9712,-117.26,1000.0,17.0
32.9712,-117.24,1000.0,4.0
32.9712,-117.22,1000.0,0.0
32.9712,-117.2,1000.0,1.0
32.9712,-117.18,1000.0,2.0
32.9712,-117.16,1000.0,5.0
