_id,ltable_id,rtable_place_id,ltable_name,ltable_address,ltable_phone,ltable_lat,ltable_long,rtable_name,rtable_address,rtable_phone,rtable_lat,rtable_long,predicted
5647,z7J1005Sb86snhSkOJ22ag,ChIJQ0yGJnJZ2YAR1AphGs0Qht4,family golden palace,820 jamacha rd el cajon ca 92019,6193328833,32.7847534,-116.9280649,family golden palace,820 jamacha road el cajon ca 92019 usa,6193328833,32.784775399999994,-116.9283787,1
5648,xuLpMHsQ8EGkrDci6Ulcrw,ChIJsfr18XJZ2YARzQZpcXlzAH8,wendy's,686 jamacha road el cajon ca 92019,6194443895,32.788067,-116.92898000000001,wendy's,686 jamacha road el cajon ca 92019 usa,6194443895,32.7880924,-116.9289795,1
5649,BupGJ2Sp-QJT4wpCJwGh9w,ChIJu5dliXJZ2YARWY_zCV5-YXk,sombrero mexican food,1501 e washington ave el cajon ca 92019,6195792636,32.787239074706996,-116.927192687988,sombrero mexican food,1501 e washington ave el cajon ca 92019 usa,6195792636,32.7873374,-116.9272645,1
5650,ssJJPFuV6tTDgHYe2w9csQ,ChIJuZYJxYUB3IAR_e8SrnIADUE,oscars mexican seafood,703 turquoise st san diego ca 92109,8584886392,32.808189,-117.260846,oscars mexican seafood,703 turquoise st san diego ca 92109 usa,8584886392,32.808168,-117.2608483,1
5651,tF6o3Fr-P87vBCvp4bCVdg,ChIJK-73I4UB3IARR3UI3ZR1kzw,ambrogio15,926 turquoise st ste h san diego ca 92109,8582918650,32.80943,-117.25693999999999,ambrogio15,926 turquoise st h san diego ca 92109 usa,8582918650,32.8094972,-117.25686670000002,1
5652,OiKkj7ZsTcii6nW6uDt9JA,ChIJTzCUuYUB3IARGd3nNaF-rbE,homestyle hawaiian,747 turquoise st ste 200 san diego ca 92109,8582918852,32.80823,-117.25993999999999,homestyle hawaiian,747 turquoise st san diego ca 92109 usa,8582918852,32.80834719999999,-117.25997379999998,1
5653,6sxAvbRBxy1hymvoDb8spQ,ChIJ7QlKjpEB3IARtH5Cfq6S3aU,enoteca adriano,4864 cass st san diego ca 92109,8584900085,32.80327,-117.25385,enoteca adriano,4864 cass st san diego ca 92109 usa,8584900085,32.8033333,-117.25388889999999,1
5654,Fs4JRumhC40CbAWaFYLY4Q,ChIJywiPFpAB3IAR4-XyJbOV72E,the fishery,5040 cass st san diego ca 92109,8582729985,32.8065985,-117.2547961,the fishery,5040 cass st san diego ca 92109 usa,8582729985,32.806603100000004,-117.2547976,1
5658,dOC2HyhikxoI9-O8X5S4bQ,ChIJAT0yS5AB3IAR7hxsA8wHMU0,hot or not thai,4965 cass st san diego ca 92109,6193691688,32.8052407,-117.254053,hot or not thai,4965 cass st san diego ca 92109 usa,6193691688,32.80521979999999,-117.254038,1
5660,Bvz7RUmxZvnQlbFRYhvUYA,ChIJ0dCAvFQB3IARzMcqe2dqVP0,coconut girl kitchen,4658 mission blvd san diego ca 92109,8582634309,32.798806,-117.25641,coconut girl kitchen,4658 mission blvd san diego ca 92109 usa,8582634309,32.7987919,-117.25641529999999,1
